model,analysis,balanced_accuracy,weighted_auc,weighted_f1
rf,AOPEP_GNAL,0.7899999999999999,0.8577777777777778,0.7884122069880585
gbc,AOPEP_GNAL,0.8088888888888889,0.8777777777777779,0.8075515728793423
vc,AOPEP_GNAL,0.818888888888889,0.8711111111111112,0.8179009757984048
rf,AOPEP_KMT2B,0.8625730994152047,0.9003248862897986,0.8818473032449285
gbc,AOPEP_KMT2B,0.7991228070175438,0.8186159844054581,0.8090992138050961
vc,AOPEP_KMT2B,0.819590643274854,0.8884990253411305,0.841450433822725
rf,AOPEP_PANK2,0.6980676328502415,0.7338566827697262,0.7368946238215013
gbc,AOPEP_PANK2,0.6560386473429952,0.7342592592592592,0.7070360931974204
vc,AOPEP_PANK2,0.6560386473429952,0.7400563607085345,0.7070360931974204
rf,AOPEP_PLA2G6,0.8045454545454545,0.8739354327589621,0.8499107266008379
gbc,AOPEP_PLA2G6,0.7830659536541889,0.9073281837987721,0.8513826664819943
vc,AOPEP_PLA2G6,0.7860071301247771,0.8765894236482472,0.8555577162384396
rf,AOPEP_SGCE,0.824124809741248,0.8849061390157281,0.8898076135736792
gbc,AOPEP_SGCE,0.8167998477929984,0.9455648570945374,0.9328959756113537
vc,AOPEP_SGCE,0.8279109589041097,0.8992516489091831,0.9355672594213849
rf,AOPEP_THAP1,0.689206349206349,0.7246560846560847,0.6884661327111308
gbc,AOPEP_THAP1,0.6763492063492063,0.7292063492063493,0.6745463999534952
vc,AOPEP_THAP1,0.6936507936507936,0.7232804232804233,0.6918026325183273
rf,AOPEP_TOR1A,0.8071594047937272,0.8890611541774331,0.897033772456887
gbc,AOPEP_TOR1A,0.7689120556001069,0.9104725415070242,0.9096827262021421
vc,AOPEP_TOR1A,0.7899714871246547,0.8990109596364609,0.9125714393165657
rf,AOPEP_VPS16,0.7091787439613527,0.7929146537842191,0.8315612544158014
gbc,AOPEP_VPS16,0.6705314009661836,0.8421900161030595,0.8624311435850471
vc,AOPEP_VPS16,0.6927536231884058,0.8006441223832528,0.8687416665488092
rf,GNAL_KMT2B,0.5590643274853802,0.5877192982456141,0.5802546348047639
gbc,GNAL_KMT2B,0.569766081871345,0.614561403508772,0.6046129942422398
vc,GNAL_KMT2B,0.5750292397660818,0.6082456140350877,0.6113732761386378
rf,GNAL_PANK2,0.7370652173913044,0.7932608695652175,0.7697191892728041
gbc,GNAL_PANK2,0.6953985507246376,0.7394565217391305,0.7442736209055362
vc,GNAL_PANK2,0.7139130434782608,0.7772463768115944,0.7625803531098091
rf,GNAL_PLA2G6,0.5549910873440286,0.6111408199643493,0.6157440454147209
gbc,GNAL_PLA2G6,0.5440819964349377,0.5778877005347594,0.6158957362552273
vc,GNAL_PLA2G6,0.5492869875222818,0.5962923351158647,0.606393747021458
rf,GNAL_SGCE,0.5558561643835616,0.5556697108066971,0.7937545667179408
gbc,GNAL_SGCE,0.5156773211567731,0.5223363774733637,0.8121097542752327
vc,GNAL_SGCE,0.5056773211567732,0.5449353120243531,0.8081811981204531
rf,GNAL_THAP1,0.7495238095238095,0.8312380952380952,0.7580928697289566
gbc,GNAL_THAP1,0.7376190476190476,0.8231428571428572,0.7420829217425918
vc,GNAL_THAP1,0.7614285714285715,0.8325714285714285,0.7664615575994886
rf,GNAL_TOR1A,0.65700882117081,0.6795856722801391,0.7904616157793378
gbc,GNAL_TOR1A,0.5523469660518577,0.6321438118150228,0.849849413099955
vc,GNAL_TOR1A,0.5500481154771452,0.6629938519112537,0.8472489149878465
rf,GNAL_VPS16,0.653623188405797,0.689855072463768,0.7410620772506398
gbc,GNAL_VPS16,0.5576811594202898,0.6373913043478262,0.7985246922206477
vc,GNAL_VPS16,0.5747826086956522,0.6701449275362319,0.8011848269407146
rf,KMT2B_PANK2,0.689267098906687,0.7659441478091364,0.6911882220590324
gbc,KMT2B_PANK2,0.7039982201881516,0.768203873209594,0.7044570820642979
