model,analysis,balanced_accuracy_UB,weighted_auc_UB,weighted_f1_UB
rf,AOPEP_GNAL,0.5665,0.619111111,0.561940915
gbc,AOPEP_GNAL,0.550277778,0.584722222,0.543318723
vc,AOPEP_GNAL,0.571388889,0.591333333,0.565816004
rf,AOPEP_KMT2B,0.591798246,0.58734243,0.628452869
gbc,AOPEP_KMT2B,0.572046784,0.610617284,0.616428306
vc,AOPEP_KMT2B,0.579897661,0.603564003,0.613892563
rf,AOPEP_PANK2,0.59348128,0.624442432,0.667583447
gbc,AOPEP_PANK2,0.619915459,0.642993156,0.685224359
vc,AOPEP_PANK2,0.614915459,0.633514493,0.682622056
rf,AOPEP_PLA2G6,0.554757873,0.549458309,0.688948315
gbc,AOPEP_PLA2G6,0.537170232,0.551189344,0.692157116
vc,AOPEP_PLA2G6,0.549555853,0.543588829,0.704443679
rf,AOPEP_SGCE,0.540216895,0.577801666,0.779514311
gbc,AOPEP_SGCE,0.548358067,0.550694867,0.831860807
vc,AOPEP_SGCE,0.550333904,0.581244081,0.828435265
rf,AOPEP_THAP1,0.581730159,0.618375661,0.595603931
gbc,AOPEP_THAP1,0.629380952,0.652174603,0.637384484
vc,AOPEP_THAP1,0.620825397,0.642714286,0.626295003
rf,AOPEP_TOR1A,0.536265036,0.559638985,0.774304059
gbc,AOPEP_TOR1A,0.522205293,0.548681577,0.83718954
vc,AOPEP_TOR1A,0.514345095,0.554734325,0.829597366
rf,AOPEP_VPS16,0.607608696,0.622624799,0.766694683
gbc,AOPEP_VPS16,0.565507246,0.634541063,0.80738032
vc,AOPEP_VPS16,0.562198068,0.635024155,0.797863311
rf,GNAL_KMT2B,0.552067251,0.560115497,0.59299555
gbc,GNAL_KMT2B,0.546649123,0.556315789,0.588772854
vc,GNAL_KMT2B,0.546649123,0.560654971,0.588772854
rf,GNAL_PANK2,0.540110507,0.575009058,0.603596213
gbc,GNAL_PANK2,0.541246377,0.58727808,0.601217944
vc,GNAL_PANK2,0.545677536,0.580637681,0.612977728
rf,GNAL_PLA2G6,0.584878788,0.599717914,0.635371122
gbc,GNAL_PLA2G6,0.584094474,0.589983957,0.635811319
vc,GNAL_PLA2G6,0.584605169,0.601992424,0.641256193
rf,GNAL_SGCE,0.538070396,0.555961663,0.717325681
gbc,GNAL_SGCE,0.550818683,0.56225019,0.815944752
vc,GNAL_SGCE,0.546395738,0.555810122,0.740301684
rf,GNAL_THAP1,0.5635,0.56367619,0.567524778
gbc,GNAL_THAP1,0.553071429,0.563404762,0.572511052
vc,GNAL_THAP1,0.549857143,0.583166667,0.568224955
rf,GNAL_TOR1A,0.596589949,0.610976811,0.756195376
