model,analysis,balanced_accuracy,weighted_auc,weighted_f1
rf,AOPEP_GNAL,0.7811111111111111,0.8400000000000001,0.7783625730994151
gbc,AOPEP_GNAL,0.7366666666666666,0.7955555555555556,0.7352977139819246
vc,AOPEP_GNAL,0.7477777777777777,0.8244444444444445,0.7457070707070708
rf,AOPEP_KMT2B,0.8257309941520468,0.846133853151397,0.8217546319226992
gbc,AOPEP_KMT2B,0.8090643274853802,0.8374269005847953,0.8281010643123647
vc,AOPEP_KMT2B,0.8087719298245613,0.8596491228070174,0.8206253865182438
rf,AOPEP_PANK2,0.6980676328502415,0.7338566827697262,0.7368946238215013
gbc,AOPEP_PANK2,0.6560386473429952,0.7342592592592592,0.7070360931974204
vc,AOPEP_PANK2,0.6560386473429952,0.7400563607085345,0.7070360931974204
rf,AOPEP_PLA2G6,0.8074866310160429,0.861081402257873,0.8547519404963693
gbc,AOPEP_PLA2G6,0.8082293523469994,0.9009704892057833,0.8660582516553579
vc,AOPEP_PLA2G6,0.8000594177064766,0.8709051297286592,0.8659605020748812
rf,AOPEP_SGCE,0.8156963470319635,0.892292406561813,0.9037242949959989
gbc,AOPEP_SGCE,0.825152207001522,0.9346905124302385,0.9318204835906176
vc,AOPEP_SGCE,0.8460045662100455,0.8999365804160323,0.9352655827904821
rf,AOPEP_THAP1,0.6607936507936507,0.765925925925926,0.6661245598181068
gbc,AOPEP_THAP1,0.663015873015873,0.7052380952380952,0.674130609519556
vc,AOPEP_THAP1,0.6501587301587302,0.7317460317460318,0.6587649053501654
rf,AOPEP_TOR1A,0.8090483827853514,0.8897502153316108,0.886516805335364
gbc,AOPEP_TOR1A,0.7799964358905818,0.8875077964893523,0.91233955764034
vc,AOPEP_TOR1A,0.7822952864652943,0.8922955834744128,0.9155251181298821
rf,AOPEP_VPS16,0.7497584541062803,0.807085346215781,0.8490045419253551
gbc,AOPEP_VPS16,0.717391304347826,0.8161030595813206,0.8658804283058015
